id,host id,host_identity_verified,host name,neighbourhood group,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,review rate number,calculated host listings count,availability 365
1014591,57827496420,unconfirmed,Charlotte,Brooklyn,,strict,Private room,2005,$816 ,$163 ,2,71,07/02/2019,4,6,344
1015144,48387947293,,Miranda,Brooklyn,,strict,Entire home/apt,2006,"$1,175 ",$235 ,2,88,6/19/2019,4,2,372
1015696,81686279636,,Carlos,Brooklyn,,moderate,Private room,2021,$530 ,$106 ,1,19,6/23/2019,5,2,344
1016248,38811420224,verified,Adrianna,Manhattan,,strict,Private room,2017,$274 ,$55 ,4,0,,,1,96
1016800,19382804591,unconfirmed,Andrew,Manhattan,,moderate,Entire home/apt,2016,$209 ,$42 ,10,58,8/13/2017,,1,103
1017353,51449163855,verified,Daryl,Manhattan,,strict,Private room,2021,$432 ,$86 ,3,108,6/15/2019,,3,172
1017905,86424057349,unconfirmed,Tyler,Manhattan,,flexible,Entire home/apt,2010,$666 ,$133 ,14,29,4/19/2019,,1,56
1018457,69410526955,unconfirmed,Byron,Manhattan,,flexible,Private room,2004,$770 ,$154 ,3,242,06/01/2019,,3,105
1019010,80369762211,verified,Mary,Manhattan,,flexible,Private room,2007,$512 ,$102 ,2,88,6/14/2019,,1,169
1019562,50968902783,unconfirmed,John,Brooklyn,,moderate,Private room,2007,$858 ,$172 ,4,197,6/15/2019,,3,383
1020114,25066620900,verified,Alfred,Manhattan,,strict,Private room,2021,$545 ,$109 ,3,273,07/01/2019,,3,411
1020667,57938703679,unconfirmed,Jared,Brooklyn,TRUE,strict,Private room,2016,$191 ,$38 ,1,74,05/12/2019,,2,76
1021219,53343148512,verified,Brad,Brooklyn,TRUE,moderate,Private room,2003,"$1,111 ",$222 ,4,168,6/21/2019,,3,416
1021771,26207748876,verified,Arthur,Brooklyn,FALSE,moderate,Private room,2004,$203 ,$41 ,60,0,,,1,294
1022323,88653822946,verified,Joyce,Brooklyn,TRUE,moderate,Entire home/apt,2005,"$1,097 ",$219 ,2,231,6/22/2019,3,2,214
1022876,49725315867,verified,Deanna,Brooklyn,TRUE,strict,Private room,2011,"$1,020 ",$204 ,1,0,,3,1,356
1023428,31736204344,,Clark,Manhattan,TRUE,moderate,Shared room,2012,"$1,010 ",$202 ,1,214,07/05/2019,5,4,110
1023980,63131487263,unconfirmed,Byron,Manhattan,FALSE,strict,Private room,2005,$563 ,$113 ,2,245,6/21/2019,3,2,354
1024533,50357575975,verified,Alina,Brooklyn,TRUE,flexible,Entire home/apt,2020,$370 ,$74 ,3,15,5/27/2019,2,1,33
1025085,45597582469,,Charlie,Brooklyn,FALSE,strict,Private room,2008,$687 ,$137 ,7,25,9/30/2018,1,1,405
1025637,55430108992,unconfirmed,Alford,Manhattan,FALSE,strict,Private room,2017,$856 ,$171 ,4,81,6/16/2019,3,1,86
1026190,2107606817,unconfirmed,Chester,Manhattan,TRUE,flexible,Entire home/apt,2006,$62 ,$12 ,7,97,6/13/2019,,1,152
1026742,41615406010,,David,Brooklyn,FALSE,strict,Entire home/apt,2007,$435 ,$87 ,,11,06/05/2019,,1,353
1027294,81253735818,unconfirmed,Victoria,Queens,TRUE,flexible,Private room,2022,$916 ,$183 ,,248,07/01/2019,,1,26
1027846,42134614458,verified,Jared,Brooklyn,TRUE,moderate,Entire home/apt,2019,$459 ,$92 ,,61,5/25/2019,,1,32
1028399,53466382920,verified,Chloe,Brooklyn,FALSE,moderate,Entire home/apt,2015,$363 ,$73 ,,11,01/01/2017,1,1,85
1028951,49393946881,unconfirmed,Abraham,Brooklyn,TRUE,strict,Private room,2009,$212 ,$42 ,,135,6/17/2019,1,2,
1029503,1529890895,unconfirmed,Sophia,Brooklyn,FALSE,moderate,Private room,2015,$728 ,$146 ,,112,6/16/2019,2,3,
1030056,50562514538,unconfirmed,Madaline,Manhattan,TRUE,strict,Entire home/apt,2013,$901 ,$180 ,,73,07/07/2019,3,1,
1030608,49585766302,verified,Sawyer,Brooklyn,FALSE,flexible,Entire home/apt,2007,$335 ,$67 ,,82,5/17/2019,2,1,
1031160,52857769781,unconfirmed,Madaline,Brooklyn,TRUE,moderate,Entire home/apt,2014,$254 ,$51 ,,328,6/29/2019,5,1,
1031713,39829029279,verified,Richard,Manhattan,TRUE,moderate,Entire home/apt,2017,$903 ,$181 ,,19,3/25/2019,5,1,
1032265,84933495312,unconfirmed,Paul,Brooklyn,FALSE,moderate,Entire home/apt,2012,$439 ,$88 ,30,105,6/22/2019,5,1,
1032817,18424415847,unconfirmed,Carina,Manhattan,TRUE,flexible,Private room,2009,"$1,024 ",$205 ,5,19,5/18/2019,4,1,
1033369,48877238684,,Sophia,Manhattan,TRUE,strict,Private room,2006,$658 ,$132 ,2,289,06/09/2019,3,2,
1033922,71987706184,verified,Rosie,Brooklyn,FALSE,flexible,Private room,2020,$543 ,$109 ,4,138,06/04/2019,1,3,
1034474,85649449746,verified,Frederick,Manhattan,TRUE,strict,Entire home/apt,2019,$256 ,$51 ,30,21,6/29/2019,5,1,
1035026,22028915442,,Agata,Brooklyn,FALSE,moderate,Private room,2012,$294 ,$59 ,2,42,6/30/2019,3,1,
1035579,51930287368,unconfirmed,George,Manhattan,TRUE,moderate,Entire home/apt,2004,$779 ,$156 ,180,5,11/03/2018,2,1,
1036131,85658272266,unconfirmed,Kelsey,Manhattan,FALSE,strict,Entire home/apt,2020,$653 ,$131 ,2,66,3/30/2019,5,2,
1036683,91715353208,,Sabrina,Brooklyn,TRUE,flexible,Entire home/apt,2012,$303 ,$61 ,30,143,1/26/2019,1,2,
1037236,71078326464,unconfirmed,William,Brooklyn,FALSE,flexible,Private room,2010,$825 ,$165 ,7,27,9/30/2017,2,2,
1037788,20543275700,verified,Melissa,Manhattan,FALSE,strict,Private room,2013,$646 ,$129 ,30,191,,1,1,
1038340,42969787263,verified,Ellia,Brooklyn,FALSE,flexible,Entire home/apt,2006,"$1,037 ",$207 ,3,4,9/24/2017,3,1,
1038892,79667908130,unconfirmed,Walter,Manhattan,FALSE,strict,Private room,2015,$87 ,$17 ,1,338,07/01/2019,3,2,
1039445,19095545297,unconfirmed,Sawyer,Brooklyn,TRUE,moderate,Entire home/apt,2007,$316 ,$63 ,1,148,6/23/2019,1,1,
1039997,58710475260,unconfirmed,Valeria,Manhattan,TRUE,flexible,Private room,2017,$735 ,$147 ,1,106,6/21/2019,3,2,
1040549,27952493551,,Adelaide,Manhattan,FALSE,flexible,Entire home/apt,2017,$524 ,$105 ,4,190,6/23/2019,4,1,
1041102,90314634438,unconfirmed,Reid,Manhattan,FALSE,moderate,Entire home/apt,2019,$238 ,$48 ,9,49,5/14/2018,3,1,
1041654,44843744875,verified,Charlie,Manhattan,FALSE,moderate,Private room,2017,$603 ,$121 ,7,23,06/01/2019,3,1,
1042206,98195975718,,Violet,,TRUE,moderate,Private room,2011,$571 ,$114 ,2,49,6/18/2019,2,2,
1042759,4726877402,unconfirmed,Audrey,,TRUE,strict,Private room,2014,$398 ,$80 ,2,105,6/26/2019,1,1,
1043311,74322993447,verified,Violet,,FALSE,strict,Entire home/apt,2018,$618 ,$124 ,5,21,01/02/2019,4,1,
1043863,11468499446,verified,Sofia,,FALSE,strict,Private room,2007,$116 ,$23 ,1,142,07/06/2019,4,1,
1044415,68599531533,unconfirmed,Melanie,,TRUE,flexible,Private room,2012,$54 ,$11 ,30,25,,2,1,
1044968,43811392937,,Lenny,Brooklyn,TRUE,flexible,Private room,2013,$744 ,$149 ,3,143,6/16/2019,2,1,
1045520,6644226026,unconfirmed,Eddy,Manhattan,TRUE,strict,Private room,2011,"$1,065 ",$213 ,3,167,5/28/2019,4,1,
1046072,73077753757,verified,Arthur,Brooklyn,FALSE,moderate,Private room,2017,"$1,057 ",$211 ,3,61,4/22/2019,3,4,
1046625,97798221815,verified,Alisa,Manhattan,TRUE,flexible,Entire home/apt,2005,"$1,056 ",$211 ,31,54,3/23/2019,3,1,
1047177,54627928830,verified,Edgar,Manhattan,FALSE,moderate,Entire home/apt,2017,$909 ,$182 ,5,70,,4,1,
1047729,88585125323,verified,Justin,Brooklyn,TRUE,moderate,Entire home/apt,2017,$586 ,$117 ,6,16,6/15/2019,4,1,
1048282,15834881958,unconfirmed,Violet,Manhattan,TRUE,strict,Private room,2013,$575 ,$115 ,30,94,04/08/2019,3,1,
1048834,34333762709,unconfirmed,Sienna,Brooklyn,FALSE,strict,Entire home/apt,2013,$292 ,$58 ,1,25,08/04/2016,3,1,
1049386,76203104999,verified,Lucy,Brooklyn,TRUE,strict,Entire home/apt,2007,$194 ,$39 ,3,61,08/09/2018,4,1,
1049938,7693754055,unconfirmed,Ellia,Manhattan,FALSE,flexible,Private room,2022,$123 ,$25 ,3,194,6/30/2019,2,1,
1050491,65444463877,,Emma,Manhattan,FALSE,strict,Private room,2004,"$1,079 ",$216 ,1,2,2/14/2016,5,1,
1051043,14067827221,unconfirmed,Lilianna,,FALSE,moderate,Private room,2015,$266 ,$53 ,3,174,6/22/2019,5,4,
1051595,12884105458,,Albert,,FALSE,moderate,Private room,2012,$728 ,$146 ,4,24,,5,1,
1052148,63218812094,unconfirmed,Sarah,,FALSE,flexible,Entire home/apt,2021,$583 ,$117 ,4,166,6/27/2019,2,1,
1052700,89635238032,unconfirmed,Rubie,Brooklyn,TRUE,moderate,Private room,2012,$51 ,$10 ,7,16,5/31/2019,,6,
1053252,40398018895,unconfirmed,Alfred,Brooklyn,FALSE,moderate,Entire home/apt,2018,$588 ,$118 ,7,21,5/21/2019,,1,
1053805,85349309260,,Chester,Brooklyn,FALSE,moderate,Entire home/apt,2010,$360 ,$72 ,5,168,7/22/2018,,1,82
1054357,43086080920,verified,Joyce,Brooklyn,TRUE,strict,Entire home/apt,2011,$380 ,$76 ,,118,6/18/2019,,2,92
1054909,8644470108,verified,Sydney,Manhattan,TRUE,strict,Entire home/apt,2017,$343 ,$69 ,,,07/07/2019,,1,55
1055461,2531706698,,Victoria,Manhattan,,flexible,Private room,2021,$160 ,$32 ,,1,10/09/2018,,1,158
1056014,31493374340,verified,,Manhattan,,moderate,Private room,2022,$528 ,$106 ,,30,05/01/2019,,2,64
1056566,47504416702,unconfirmed,,Brooklyn,,moderate,Entire home/apt,2009,$739 ,$148 ,,139,10/28/2018,,2,184
1057118,71312861184,unconfirmed,Edgar,Manhattan,,flexible,Private room,2013,$913 ,$183 ,,11,,,3,201
1057671,66356095263,unconfirmed,Albert,Brooklyn,,flexible,Entire home/apt,2006,$507 ,$101 ,,233,6/24/2019,,3,328
1058223,62028601494,verified,Kelsey,Manhattan,,strict,Private room,2007,$306 ,$61 ,,68,01/02/2022,,1,393
1058775,90570445423,verified,Adelaide,Manhattan,,strict,Entire home/apt,2012,"$1,078 ",$216 ,,46,5/18/2019,2,2,96
1059328,14752755860,verified,April,Brooklyn,,moderate,Private room,2004,$887 ,$177 ,,335,5/29/2019,1,1,61
1059880,74182934364,verified,Lilianna,Brooklyn,,moderate,Entire home/apt,2008,$243 ,$49 ,30,88,11/02/2018,2,1,267
1060432,94662871331,unconfirmed,Tess,Brooklyn,,flexible,Entire home/apt,2016,$500 ,$100 ,90,162,6/28/2019,3,2,189
1060984,38981444696,unconfirmed,Ned,Brooklyn,FALSE,strict,Entire home/apt,2017,$589 ,$118 ,30,29,5/26/2018,1,1,83
1061537,18044628997,unconfirmed,Emma,Manhattan,TRUE,flexible,Private room,2005,$839 ,$168 ,2,170,6/23/2019,1,1,258
1062089,85201462079,verified,Alen,Brooklyn,FALSE,strict,Entire home/apt,2011,$528 ,$106 ,30,19,3/17/2017,2,1,400
1062641,61210263217,unconfirmed,Kevin,Manhattan,TRUE,strict,Private room,2014,$66 ,$13 ,2,334,6/16/2019,1,2,34
1063194,85719117699,unconfirmed,Miller,Brooklyn,TRUE,flexible,Private room,2014,$761 ,$152 ,2,19,06/02/2019,4,6,203
1063746,95420528585,verified,Penelope,Manhattan,TRUE,flexible,Entire home/apt,2007,$523 ,$105 ,7,12,,5,1,35
1064298,56820832918,,Rosie,Brooklyn,TRUE,strict,Entire home/apt,2004,$631 ,$126 ,30,467,12/30/2018,3,2,280
1064851,63842204720,,Olivia,Manhattan,FALSE,flexible,Entire home/apt,2008,$677 ,$135 ,2,7,08/09/2017,5,,417
1065403,14374368872,,Paige,Manhattan,TRUE,flexible,Entire home/apt,2008,$574 ,$115 ,5,38,12/02/2015,3,,162
1065955,40328778117,,Agata,Brooklyn,TRUE,flexible,Entire home/apt,2003,$232 ,$46 ,3,324,6/23/2019,,,169
1066507,87894881413,,David,Manhattan,FALSE,strict,Entire home/apt,,"$1,154 ",$231 ,6,27,4/27/2019,,,237
1067060,27506185339,,Adelaide,Manhattan,FALSE,strict,Entire home/apt,,$737 ,$147 ,1,115,06/07/2019,,,242
1067612,25474679480,,Fenton,Brooklyn,TRUE,moderate,Private room,,$456 ,$91 ,2,354,5/20/2019,,,227
1068164,81078988196,,Madaline,Manhattan,TRUE,moderate,Entire home/apt,2005,$291 ,$58 ,2,195,07/01/2019,,,173
1068717,9853816495,,Darcy,Brooklyn,TRUE,strict,Entire home/apt,2021,$996 ,$199 ,2,16,12/30/2018,,,146
1069269,65890112273,,Aida,Manhattan,TRUE,flexible,Entire home/apt,2008,$788 ,$158 ,7,13,6/26/2019,,,243
1069821,21125900343,unconfirmed,Jasmine,Manhattan,TRUE,flexible,Entire home/apt,2013,"$1,105 ",$221 ,4,25,12/10/2021,1,,425
1070374,63113999922,verified,Robert,Brooklyn,TRUE,moderate,Private room,2015,"$1,109 ",$222 ,2,9,10/05/2018,4,,113
1070926,96956465387,verified,Lucas,Brooklyn,TRUE,strict,Private room,2004,$659 ,$132 ,1,9,9/18/2021,4,,260
1071478,77172555024,unconfirmed,Miller,Manhattan,FALSE,strict,Entire home/apt,2007,$571 ,$114 ,5,21,8/15/2024,4,,395
1072030,44493053522,verified,Dexter,Manhattan,TRUE,flexible,Private room,2010,$736 ,$147 ,15,36,8/17/2017,5,,266
1072583,46312284523,verified,Darcy,Brooklyn,TRUE,moderate,Private room,2013,$946 ,$189 ,3,63,5/14/2019,1,,58
1073135,90525781448,unconfirmed,Daniel,Manhattan,TRUE,flexible,Entire home/apt,2005,$449 ,$90 ,3,155,6/20/2019,3,3,410
1073687,35058485479,verified,Victoria,Brooklyn,FALSE,moderate,Private room,2018,$930 ,$186 ,3,260,07/03/2019,4,1,388
1074240,24559680874,verified,Brooke,Manhattan,FALSE,strict,Entire home/apt,2006,$329 ,$66 ,5,73,6/25/2019,4,1,13
1074792,48867545848,verified,Lilianna,Brooklyn,FALSE,flexible,Private room,2006,"$1,125 ",$225 ,3,193,5/20/2019,2,1,62
1075344,77518406270,unconfirmed,,Manhattan,FALSE,moderate,Entire home/apt,2013,"$1,099 ",$220 ,3,32,6/14/2019,5,1,62
1075897,53246473793,unconfirmed,,Manhattan,FALSE,strict,Private room,2013,$256 ,$51 ,2,50,5/26/2019,2,3,366
1076449,80835835733,unconfirmed,,Manhattan,FALSE,strict,Entire home/apt,2013,$263 ,$53 ,29,26,07/01/2019,5,1,338
1077001,41763838164,unconfirmed,Anna,Brooklyn,TRUE,moderate,Private room,2020,$96 ,$19 ,2,2,01/01/2019,4,1,334
1077553,80213101260,verified,Dominik,Brooklyn,TRUE,strict,Private room,2021,"$1,192 ",$238 ,,426,6/24/2019,3,3,92
1078106,12359551036,unconfirmed,Frederick,Brooklyn,FALSE,flexible,Entire home/apt,2010,$593 ,$119 ,,227,6/23/2019,5,2,-10
1078658,6534696854,verified,Adrian,Brooklyn,TRUE,flexible,Private room,2012,$490 ,$98 ,,84,,2,3,378
1079210,63891709973,verified,Martin,Brooklyn,FALSE,moderate,Entire home/apt,2016,$488 ,$98 ,,,,4,1,325
1079763,83716006050,unconfirmed,Kellan,Brooklyn,TRUE,moderate,Entire home/apt,2004,$658 ,$132 ,,10,,5,1,-2
1080315,82129516523,unconfirmed,Hailey,Brooklyn,FALSE,flexible,Entire home/apt,2017,"$1,109 ",$222 ,,4,,3,1,351
1080867,57811865410,unconfirmed,Dominik,Queens,TRUE,strict,Private room,2018,$606 ,$121 ,,1,,4,1,389
1081420,64718456383,unconfirmed,Ryan,Brooklyn,FALSE,moderate,Entire home/apt,2007,$853 ,$171 ,,124,,2,2,16
1081972,28474746188,unconfirmed,Heather,Brooklyn,FALSE,strict,Entire home/apt,2011,$172 ,$34 ,,11,07/02/2019,3,1,325
1082524,22731046418,verified,Abraham,Brooklyn,TRUE,strict,Entire home/apt,2007,,$64 ,4,240,6/17/2019,3,1,337
1083076,83696952551,verified,Amelia,,FALSE,strict,Entire home/apt,2003,,$119 ,3,30,6/17/2019,5,1,344
1083629,26995415534,verified,Bruce,Brooklyn,FALSE,moderate,Private room,2003,"$1,133 ",$227 ,3,200,6/22/2019,5,4,166
1084181,7020663711,unconfirmed,Jessica,Brooklyn,TRUE,strict,Private room,2014,$162 ,$32 ,8,27,6/29/2019,4,5,18
1084733,45352858672,verified,Valeria,Manhattan,FALSE,moderate,Private room,2009,$944 ,$189 ,4,79,6/22/2019,3,1,130
1085286,28372000134,unconfirmed,Wilson,Brooklyn,TRUE,moderate,Private room,2009,$505 ,$101 ,15,9,05/10/2013,2,1,43
1085838,85684057000,verified,Mike,Brooklyn,TRUE,strict,Private room,2009,$113 ,$23 ,3,155,6/13/2019,2,1,18
1086390,47292670441,unconfirmed,Dainton,Brooklyn,FALSE,flexible,Entire home/apt,2020,$810 ,$162 ,15,4,8/27/2018,3,1,0
1086943,80380133240,unconfirmed,Audrey,Manhattan,TRUE,moderate,Private room,2022,$370 ,$74 ,2,34,,5,1,373
1087495,75987317883,verified,James,Manhattan,,,Entire home/apt,2018,$738 ,$148 ,45,134,,3,1,426
1088047,51756716507,unconfirmed,Roman,Brooklyn,,,Entire home/apt,2007,"$1,013 ",$203 ,6,27,,3,1,396
1088599,30351473270,unconfirmed,Kellan,Manhattan,,,Entire home/apt,2004,$464 ,$93 ,4,126,,1,2,280
1089152,22525653405,unconfirmed,Owen,Brooklyn,,,Entire home/apt,2006,$744 ,$149 ,3,23,,2,1,419
1089704,82585795978,verified,Eddy,Manhattan,,,Entire home/apt,2014,$764 ,$153 ,1,234,06/08/2019,5,2,353
1090256,1595619477,unconfirmed,Darcy,,,,Private room,2022,"$1,020 ",$204 ,4,202,5/28/2019,5,2,377
1090809,973585651,unconfirmed,Dominik,Queens,,,Private room,2018,$355 ,$71 ,30,28,04/12/2019,1,1,395
1091361,86944769515,verified,Aldus,Brooklyn,,,Entire home/apt,2008,$244 ,$49 ,2,309,6/22/2019,4,2,169
1091913,20270952150,unconfirmed,Edith,Brooklyn,TRUE,strict,Private room,2016,$385 ,$77 ,47,14,4/25/2021,2,1,190
1092466,3310140241,verified,Luke,Manhattan,FALSE,flexible,Entire home/apt,2021,$950 ,$190 ,81,4,9/23/2016,1,1,335
1093018,61571782497,verified,Nicole,Brooklyn,FALSE,strict,Entire home/apt,2021,$374 ,$75 ,144,80,07/06/2019,2,1,52
1093570,29280666536,unconfirmed,Agata,Manhattan,FALSE,flexible,Entire home/apt,2011,$375 ,$75 ,371,2,11/02/2015,4,1,70
1094122,45745264571,,Heather,,TRUE,strict,Private room,2004,$925 ,$185 ,149,294,6/24/2019,3,3,311
1094675,44408473243,,James,Brooklyn,FALSE,moderate,Entire home/apt,2008,$842 ,$168 ,273,150,6/18/2019,5,3,141
1095227,95792367490,,Dexter,Staten Island,TRUE,strict,Private room,2003,"$1,015 ",$203 ,131,166,6/13/2019,4,1,-1
1095779,29877853006,,Jared,Brooklyn,FALSE,moderate,Private room,2014,$503 ,$101 ,275,47,6/19/2019,5,1,263
1096332,80294758485,,Eric,Bronx,TRUE,flexible,Private room,2006,$483 ,$97 ,323,219,07/04/2019,1,3,200
1096884,33855109201,,Freddie,Brooklyn,FALSE,strict,Entire home/apt,2005,$176 ,$35 ,59,193,07/06/2016,4,1,219
1097436,56474290668,,Olivia,Manhattan,FALSE,flexible,Private room,2020,$185 ,$37 ,99,84,6/23/2019,4,4,144
1097989,57567873573,verified,Amy,Manhattan,FALSE,strict,Entire home/apt,2022,$387 ,$77 ,268,114,6/20/2019,4,1,320
1098541,83631499592,unconfirmed,Frederick,Brooklyn,FALSE,flexible,Private room,2008,"$1,155 ",$231 ,-10,213,6/24/2019,5,2,19
1099093,64716183027,verified,April,Manhattan,FALSE,strict,Entire home/apt,2017,$665 ,$133 ,189,86,06/01/2019,1,1,293
1099645,13628045272,verified,Daniel,Manhattan,TRUE,strict,Entire home/apt,2013,$175 ,$35 ,30,80,5/26/2019,2,3,58
1100198,31589665723,unconfirmed,Jared,Manhattan,TRUE,strict,Entire home/apt,2012,$408 ,$82 ,340,38,4/20/2016,1,1,163
1100750,42380667906,verified,Ashton,Manhattan,FALSE,strict,Entire home/apt,2019,$601 ,$120 ,128,18,12/17/2018,3,1,240
1101302,9549678609,unconfirmed,Adele,Brooklyn,FALSE,flexible,Private room,2011,$107 ,$21 ,350,206,6/30/2019,4,2,96
1101855,65716686884,unconfirmed,Brad,Queens,TRUE,flexible,Entire home/apt,2011,$724 ,$145 ,166,10,05/12/2019,4,5,300
1102407,44580630332,unconfirmed,Bruce,Manhattan,FALSE,strict,Private room,2019,$450 ,$90 ,110,122,5/14/2019,4,2,425
1102959,35675205624,unconfirmed,Daniel,Brooklyn,FALSE,strict,Entire home/apt,2004,"$1,153 ",$231 ,57,33,04/08/2019,4,1,421
1103512,36806839312,unconfirmed,Kelsey,Brooklyn,FALSE,strict,Entire home/apt,2015,$327 ,$65 ,142,52,06/05/2019,4,1,83
1104064,93242543275,verified,Natalie,Brooklyn,FALSE,strict,Private room,2015,$946 ,$189 ,366,126,5/19/2019,,4,332
1104616,25032439747,unconfirmed,Lana,Brooklyn,FALSE,strict,Private room,2017,$498 ,$100 ,,51,6/24/2019,,3,271
1105168,40177622054,unconfirmed,Victor,Manhattan,FALSE,flexible,Private room,2020,$720 ,$144 ,,199,6/24/2019,,1,156
1105721,5715989004,verified,Edgar,Brooklyn,FALSE,flexible,Entire home/apt,2011,$174 ,$35 ,,30,03/02/2022,,1,
1106273,4828083235,verified,Antony,Manhattan,TRUE,moderate,Entire home/apt,2021,$323 ,$65 ,,3,7/17/2015,,1,
1106825,93725364475,unconfirmed,Aiden,Manhattan,FALSE,moderate,Entire home/apt,,$539 ,$108 ,,41,6/26/2025,2,1,
1107378,11711269275,verified,Antony,Manhattan,FALSE,strict,Entire home/apt,,$232 ,$46 ,,109,6/15/2019,2,1,
1107930,47754762661,unconfirmed,Clark,Brooklyn,FALSE,flexible,Entire home/apt,,$968 ,$194 ,,151,6/22/2019,4,3,
1108482,53580758729,unconfirmed,,Manhattan,FALSE,flexible,Private room,,$460 ,$92 ,14,0,,1,2,
1109035,66711255974,verified,,Manhattan,FALSE,moderate,Private room,,$81 ,$16 ,1,285,6/22/2019,1,1,
1109587,47239505401,verified,,,TRUE,flexible,Private room,,$267 ,$53 ,1,375,6/18/2019,3,1,
1110139,39463875808,unconfirmed,,Queens,TRUE,moderate,Private room,,"$1,084 ",$217 ,2,52,5/20/2019,2,2,
1110691,72064826815,verified,,Manhattan,TRUE,flexible,Entire home/apt,2013,$402 ,$80 ,5,10,07/01/2019,3,1,
1111244,43945171386,verified,,Brooklyn,,,Private room,,$457 ,$91 ,2,11,11/13/2017,3,1,
1111796,16211727428,unconfirmed,Dale,Queens,,,Entire home/apt,,$938 ,$188 ,30,33,05/09/2015,4,5,
1112348,51018805199,unconfirmed,Lydia,Queens,,,Private room,,$405 ,$81 ,7,6,10/08/2015,3,5,420
1112901,21389589535,unconfirmed,Annabella,Queens,,,Entire home/apt,,$907 ,$181 ,7,38,4/27/2019,4,5,294
1113453,80926683538,,Cherry,Brooklyn,,,Entire home/apt,,$693 ,$139 ,2,358,6/20/2019,3,2,286
1114005,20738355824,,Nicholas,Manhattan,,,Shared room,,$586 ,$117 ,6,10,01/07/2014,1,1,399
1114558,27207072817,,Jack,Manhattan,,,Private room,,$112 ,$22 ,30,0,,1,1,12
1115110,87631747854,,Amanda,,FALSE,strict,Private room,,$936 ,$187 ,2,226,06/06/2019,4,3,263
1115662,14045566528,,Adrianna,Manhattan,FALSE,moderate,Entire home/apt,2022,$749 ,$150 ,1,104,6/22/2019,1,5,15
1116214,30253075852,,Vincent,Bronx,TRUE,flexible,Private room,2007,$538 ,$108 ,1,138,6/30/2019,1,3,138
